#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq
GCA_001266655.1	PRJNA289697	SAMN03857118		na	43687	43687	Metallosphaera sedula	strain=ARS50-1		latest	Complete Genome	Major	Full	2015/08/12	ASM126665v1	University of Nebraska-Lincoln	GCF_001266655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/655/GCA_001266655.1_ASM126665v1	
GCA_001266675.1	PRJNA289701	SAMN03857124		na	43687	43687	Metallosphaera sedula	strain=ARS50-2		latest	Complete Genome	Major	Full	2015/08/12	ASM126667v1	University of Nebraska-Lincoln	GCF_001266675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/675/GCA_001266675.1_ASM126667v1	
GCA_001266695.1	PRJNA289698	SAMN03857129		na	43687	43687	Metallosphaera sedula	strain=ARS120-1		latest	Complete Genome	Major	Full	2015/08/12	ASM126669v1	University of Nebraska-Lincoln	GCF_001266695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/695/GCA_001266695.1_ASM126669v1	
GCA_001266715.1	PRJNA289699	SAMN03857133		na	43687	43687	Metallosphaera sedula	strain=ARS120-2		latest	Complete Genome	Major	Full	2015/08/12	ASM126671v1	University of Nebraska-Lincoln	GCF_001266715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/715/GCA_001266715.1_ASM126671v1	
GCA_001266735.1	PRJNA290374	SAMN03890864		na	43687	43687	Metallosphaera sedula	strain=SARC-M1		latest	Complete Genome	Major	Full	2015/08/12	ASM126673v1	University of Nebraska-Lincoln	GCF_001266735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/266/735/GCA_001266735.1_ASM126673v1	
GCA_000336895.1	PRJNA174892	SAMN02471678	AOLX00000000.1	na	1230451	43776	Haloarcula argentinensis DSM 12282	strain=DSM 12282		latest	Contig	Major	Full	2013/02/04	ASM33689v1	University of California, Davis	GCF_000336895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/895/GCA_000336895.1_ASM33689v1	
GCA_900129775.1	PRJEB18229	SAMN05443636	FQWV00000000.1	na	43928	43928	Halobaculum gomorrense	strain=DSM 9297		latest	Scaffold	Major	Full	2016/12/03	IMG-taxon 2695420988 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900129775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/129/775/GCA_900129775.1_IMG-taxon_2695420988_annotated_assembly	
GCA_000337675.1	PRJNA174940	SAMN02471669	AOIB00000000.1	representative genome	1227497	44470	Natronococcus amylolyticus DSM 10524	strain=DSM 10524		latest	Contig	Major	Full	2013/02/04	ASM33767v1	University of California, Davis	GCF_000337675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/675/GCA_000337675.1_ASM33767v1	
GCA_000230715.3	PRJNA60135	SAMN02232042		representative genome	797304	44930	Natronobacterium gregoryi SP2	strain=SP2		latest	Complete Genome	Major	Full	2012/12/10	ASM23071v3	DOE Joint Genome Institute	GCF_000230715.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/715/GCA_000230715.3_ASM23071v3	
GCA_000337655.1	PRJNA174939	SAMN02471625	AOIC00000000.1	na	797304	44930	Natronobacterium gregoryi SP2	strain=SP2		latest	Contig	Major	Full	2013/02/04	ASM33765v1	University of California, Davis	GCF_000337655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/655/GCA_000337655.1_ASM33765v1	
GCA_900114025.1	PRJEB17391	SAMN05443661	FORO00000000.1	na	44930	44930	Natronobacterium gregoryi	strain=SP2		latest	Contig	Major	Full	2016/11/02	IMG-taxon 2693429900 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCF_900114025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/025/GCA_900114025.1_IMG-taxon_2693429900_annotated_assembly	
GCA_000200715.1	PRJNA202	SAMN02744041		na	414004	46770	Cenarchaeum symbiosum A			latest	Chromosome	Major	Full	2006/11/20	ASM20071v1	DOE Joint Genome Institute	GCF_000200715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/200/715/GCA_000200715.1_ASM20071v1	derived from environmental source
GCA_001316045.1	PRJDB806	SAMD00000478	BBBY00000000.1	representative genome	523847	47303	Sulfolobus metallicus DSM 6482 = JCM 9184	strain=JCM 9184		latest	Contig	Major	Full	2015/10/01	ASM131604v1	The University of Tokyo	GCF_001316045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/045/GCA_001316045.1_ASM131604v1	
GCA_001639285.1	PRJNA318765	SAMN04867344	LWMW00000000.1	na	47311	47311	Methanobrevibacter cuticularis	strain=DSM 11139		latest	Contig	Major	Full	2016/04/29	ASM163928v1	Goettingen Genomics Laboratory	GCF_001639285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/285/GCA_001639285.1_ASM163928v1	
GCA_001639295.1	PRJNA318764	SAMN04867343	LWMV00000000.1	na	49547	49547	Methanobrevibacter curvatus	strain=DSM 11111		latest	Contig	Major	Full	2016/04/29	ASM163929v1	Goettingen Genomics Laboratory	GCF_001639295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/295/GCA_001639295.1_ASM163929v1	
GCA_000011185.1	PRJNA206	SAMD00061089		representative genome	273116	50339	Thermoplasma volcanium GSS1	strain=GSS1		latest	Complete Genome	Major	Full	2004/05/11	ASM1118v1	National Institute of Advanced Industrial Science and Technology, Japan	GCF_000011185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/185/GCA_000011185.1_ASM1118v1	
GCA_000223905.1	PRJNA68523	SAMN02602960		representative genome	634497	51589	Haloarcula hispanica ATCC 33960	strain=CGMCC 1.2049		latest	Complete Genome	Major	Full	2011/08/17	ASM22390v1	 Institute of Microbiology, Chinese Academy of Sciences	GCF_000223905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/905/GCA_000223905.1_ASM22390v1	
GCA_000504565.2	PRJNA227070	SAMN02393367		na	1417673	51589	Haloarcula hispanica N601	strain=N601		latest	Complete Genome	Major	Full	2014/01/09	ASM50456v2	Academia Sinica, Taipei, Taiwan	GCF_000504565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/504/565/GCA_000504565.2_ASM50456v2	
GCA_001315905.1	PRJDB786	SAMD00000482	BBBE00000000.1	na	523851	53952	Thermococcus peptonophilus JCM 9653	strain=JCM 9653		latest	Contig	Major	Full	2015/10/01	ASM131590v1	The University of Tokyo	GCF_001315905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/905/GCA_001315905.1_ASM131590v1	many frameshifted proteins
GCA_001592435.1	PRJNA274230	SAMN03324162		na	53952	53952	Thermococcus peptonophilus	strain=OG-1		latest	Complete Genome	Major	Full	2016/03/15	ASM159243v1	Ecole Normale Superieure de Lyon	GCF_001592435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/592/435/GCA_001592435.1_ASM159243v1	
GCA_000011105.1	PRJNA207	SAMD00061090		representative genome	70601	53953	Pyrococcus horikoshii OT3	strain=OT3		latest	Complete Genome	Major	Full	2004/05/11	ASM1110v1	NITE	GCF_000011105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/105/GCA_000011105.1_ASM1110v1	
GCA_000258515.1	PRJNA85543	SAMN02470188	AJLF00000000.1	representative genome	1151117	54076	Thermococcus zilligii AN1	strain=AN1		latest	Contig	Major	Full	2012/04/11	TheZil1.0	Korea Research Institute of Bioscience and Biotechnology	GCF_000258515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/515/GCA_000258515.1_TheZil1.0	
GCA_000147875.1	PRJNA40773	SAMN00017400		representative genome	679926	54120	Methanolacinia petrolearia DSM 11571			latest	Complete Genome	Major	Full	2010/09/17	ASM14787v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000147875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/875/GCA_000147875.1_ASM14787v1	
GCA_000015145.1	PRJNA208	SAMN02604082		representative genome	415426	54248	Hyperthermus butylicus DSM 5456	strain=DSM 5456		latest	Complete Genome	Major	Full	2007/01/22	ASM1514v1	Univ. Copenhagen	GCF_000015145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/145/GCA_000015145.1_ASM1514v1	
GCA_000223395.1	PRJNA48579	SAMN02232047		representative genome	694429	54252	Pyrolobus fumarii 1A	strain=1A		latest	Complete Genome	Major	Full	2011/08/12	ASM22339v1	DOE Joint Genome Institute	GCF_000223395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/395/GCA_000223395.1_ASM22339v1	
GCA_000092185.1	PRJNA36571	SAMN02598509		representative genome	633148	54254	Thermosphaera aggregans DSM 11486	strain=DSM 11486		latest	Complete Genome	Major	Full	2010/05/17	ASM9218v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000092185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/185/GCA_000092185.1_ASM9218v1	
GCA_001481685.1	PRJNA61347	SAMN04316368		na	940295	54259	Ignicoccus islandicus DSM 13165	strain=DSM 13165		latest	Complete Genome	Major	Full	2015/12/23	ASM148168v1	Oak Ridge National Laboratory	GCF_001481685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/685/GCA_001481685.1_ASM148168v1	
GCA_000025505.1	PRJNA33635	SAMN02598503		representative genome	589924	54261	Ferroglobus placidus DSM 10642	strain=DSM 10642		latest	Complete Genome	Major	Full	2010/02/16	ASM2550v1	US DOE Joint Genome Institute	GCF_000025505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/505/GCA_000025505.1_ASM2550v1	
GCA_900012635.1	PRJEB12305	SAMEA3721282		na	54262	54262	Thermococcus chitonophagus		1	latest	Complete Genome	Major	Full	2016/04/15	Pyrococcus chitonophagus genome sequence	University of Athens	GCF_900012635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/012/635/GCA_900012635.1_Pyrococcus_chitonophagus_genome_sequence	
GCA_001639265.1	PRJNA318759	SAMN04867340	LWMT00000000.1	na	55758	55758	Methanobrevibacter filiformis	strain=DSM 11501		latest	Contig	Major	Full	2016/04/29	ASM163926v1	Goettingen Genomics Laboratory	GCF_001639265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/265/GCA_001639265.1_ASM163926v1	
GCA_000151105.2	PRJNA19379	SAMN02603625		representative genome	391623	55802	Thermococcus barophilus MP	strain=MP		latest	Complete Genome	Major	Full	2010/12/17	ASM15110v2	Moore Foundation	GCF_000151105.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/105/GCA_000151105.2_ASM15110v2	
GCA_001433455.1	PRJNA274261	SAMN03324231		na	55802	55802	Thermococcus barophilus	strain=CH5		latest	Complete Genome	Major	Full	2015/11/05	ASM143345v1	Ecole Normale Superieure de Lyon	GCF_001433455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/455/GCA_001433455.1_ASM143345v1	
GCA_000011125.1	PRJNA211	SAMD00061092		na	272557	56636	Aeropyrum pernix K1	strain=K1		latest	Complete Genome	Major	Full	2006/10/11	ASM1112v1	NITE	GCF_000011125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/125/GCA_000011125.1_ASM1112v1	missing rRNA genes
GCA_000023965.1	PRJNA27945	SAMN00002610		representative genome	485914	57705	Halomicrobium mukohataei DSM 12286	strain=DSM 12286		latest	Complete Genome	Major	Full	2009/09/03	ASM2396v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000023965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/965/GCA_000023965.1_ASM2396v1	
GCA_000194625.1	PRJNA51621	SAMN00713598		representative genome	693661	58290	Archaeoglobus veneficus SNP6	strain=SNP6		latest	Complete Genome	Major	Full	2011/03/31	ASM19462v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000194625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/625/GCA_000194625.1_ASM19462v1	
GCA_000172995.2	PRJNA20743	SAMN00002580		representative genome	469382	60847	Halogeometricum borinquense DSM 11551	strain=PR 3		latest	Complete Genome	Major	Full	2010/11/22	ASM17299v2	US DOE Joint Genome Institute (JGI-PGF)	GCF_000172995.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/995/GCA_000172995.2_ASM17299v2	
GCA_000337855.1	PRJNA174948	SAMN02471667	AOHT00000000.1	na	469382	60847	Halogeometricum borinquense DSM 11551	strain=DSM 11551		latest	Contig	Major	Full	2013/02/04	ASM33785v1	University of California, Davis	GCF_000337855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/855/GCA_000337855.1_ASM33785v1	
GCA_000337715.1	PRJNA174943	SAMN02471622	AOHY00000000.1	representative genome	1227500	61858	Natronorubrum bangense JCM 10635	strain=JCM 10635		latest	Contig	Major	Full	2013/02/04	ASM33771v1	University of California, Davis	GCF_000337715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/715/GCA_000337715.1_ASM33771v1	
GCA_000336915.1	PRJNA174898	SAMN02471639	AOMD00000000.1	representative genome	1227455	62319	Halococcus saccharolyticus DSM 5350	strain=DSM 5350		latest	Contig	Major	Full	2013/02/04	ASM33691v1	University of California, Davis	GCF_000336915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/915/GCA_000336915.1_ASM33691v1	
GCA_000025325.1	PRJNA30411	SAMN02598471		representative genome	543526	62320	Haloterrigena turkmenica DSM 5511	strain=DSM 5511		latest	Complete Genome	Major	Full	2010/01/19	ASM2532v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000025325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/325/GCA_000025325.1_ASM2532v1	
GCA_001483125.1	PRJNA297157	SAMN04115933	LKCV00000000.1	representative genome	62320	62320	Haloterrigena turkmenica	strain=WANU15		latest	Contig	Major	Full	2015/12/29	ASM148312v1	Aljouf university	GCF_001483125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/125/GCA_001483125.1_ASM148312v1	
GCA_001315925.1	PRJDB787	SAMD00000407	BBBF00000000.1	na	1293040	62609	Thermocladium modestius JCM 10088	strain=JCM 10088		latest	Contig	Major	Full	2015/10/01	ASM131592v1	The University of Tokyo	GCF_001315925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/925/GCA_001315925.1_ASM131592v1	
GCA_000337235.1	PRJNA174945	SAMN02471668	AOHW00000000.1	na	1114856	63128	Natronorubrum tibetense GA33	strain=GA33		latest	Contig	Major	Full	2013/02/04	ASM33723v1	University of California, Davis	GCF_000337235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/235/GCA_000337235.1_ASM33723v1	
GCA_000383975.1	PRJNA85145	SAMN02261315	ARPH00000000.1	representative genome	1114856	63128	Natronorubrum tibetense GA33	strain=GA33		latest	Scaffold	Major	Full	2013/04/26	ASM38397v1	JGI	GCF_000383975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/975/GCA_000383975.1_ASM38397v1	
GCA_000337555.1	PRJNA174930	SAMN02471653	AOIO00000000.1	representative genome	29540	64602	Natrialba asiatica DSM 12278	strain=DSM 12278		latest	Contig	Major	Full	2013/02/04	ASM33755v1	University of California, Davis	GCF_000337555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/555/GCA_000337555.1_ASM33755v1	
GCA_000337035.1	PRJNA174913	SAMN02471634	AOJL00000000.1	representative genome	1227466	64713	Halorubrum coriense DSM 10284	strain=DSM 10284		latest	Contig	Major	Full	2013/02/04	ASM33703v1	University of California, Davis	GCF_000337035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/035/GCA_000337035.1_ASM33703v1	
GCA_000529525.1	PRJEB4880	SAMEA3138857	CBWS000000000.1	na	1415626	66851	Methanobrevibacter oralis JMR01	strain=JMR01		latest	Scaffold	Major	Full	2014/01/15	Methanobrevibacter oralis JMR01	URMITE	GCF_000529525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/529/525/GCA_000529525.1_Methanobrevibacter_oralis_JMR01	
GCA_001639275.1	PRJNA318760	SAMN04867341	LWMU00000000.1	representative genome	66851	66851	Methanobrevibacter oralis	strain=DSM 7256		latest	Contig	Major	Full	2016/04/29	ASM163927v1	Goettingen Genomics Laboratory	GCF_001639275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/275/GCA_001639275.1_ASM163927v1	
GCA_000092305.1	PRJNA32611	SAMN00017484		representative genome	573063	67760	Methanocaldococcus infernus ME	strain=ME		latest	Complete Genome	Major	Full	2010/04/30	ASM9230v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000092305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/305/GCA_000092305.1_ASM9230v1	
GCA_000337135.1	PRJNA174931	SAMN02471674	AOIN00000000.1	na	1227492	68911	Natrialba chahannaoensis JCM 10990	strain=JCM 10990		latest	Contig	Major	Full	2013/02/04	ASM33713v1	University of California, Davis	GCF_000337135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/135/GCA_000337135.1_ASM33713v1	
GCA_000230735.3	PRJNA52951	SAMN02261373		representative genome	797303	69525	Natrinema pellirubrum DSM 15624	strain=DSM 15624		latest	Complete Genome	Major	Full	2012/12/27	ASM23073v3	JGI	GCF_000230735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/735/GCA_000230735.3_ASM23073v3	
GCA_000337635.1	PRJNA174937	SAMN02471626	AOIE00000000.1	na	797303	69525	Natrinema pellirubrum DSM 15624	strain=DSM 15624		latest	Contig	Major	Full	2013/02/04	ASM33763v1	University of California, Davis	GCF_000337635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/635/GCA_000337635.1_ASM33763v1	
GCA_000337615.1	PRJNA174936	SAMN02471671	AOII00000000.1	na	1227495	69527	Natrinema pallidum DSM 3751	strain=DSM 3751		latest	Contig	Major	Full	2013/02/04	ASM33761v1	University of California, Davis	GCF_000337615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/615/GCA_000337615.1_ASM33761v1	
GCA_000019805.1	PRJNA15645	SAMN02598332		na	444157	70771	Pyrobaculum neutrophilum V24Sta	strain=V24Sta		latest	Complete Genome	Major	Full	2008/03/27	ASM1980v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000019805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/805/GCA_000019805.1_ASM1980v1	missing rRNA genes
GCA_000430905.1	PRJNA188868	SAMN02441137	AUMX00000000.1	representative genome	1122230	71518	Methanocorpusculum bavaricum DSM 4179	strain=DSM 4179		latest	Scaffold	Major	Full	2013/07/16	ASM43090v1	DOE Joint Genome Institute	GCF_000430905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/905/GCA_000430905.1_ASM43090v1	
GCA_000024625.1	PRJNA33047	SAMN02598493		representative genome	579137	73913	Methanocaldococcus vulcanius M7	strain=M7		latest	Complete Genome	Major	Full	2009/10/15	ASM2462v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000024625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/625/GCA_000024625.1_ASM2462v1	
GCA_000018305.1	PRJNA17421	SAMN00623034		representative genome	397948	76887	Caldivirga maquilingensis IC-167	strain=IC-167		latest	Complete Genome	Major	Full	2007/10/05	ASM1830v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000018305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/305/GCA_000018305.1_ASM1830v1	
GCA_001315825.1	PRJDB782	SAMD00000474	BBBA00000000.1	na	1293036	79601	Metallosphaera hakonensis JCM 8857	strain=JCM 8857		latest	Contig	Major	Full	2015/10/01	ASM131582v1	The University of Tokyo	GCF_001315825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/825/GCA_001315825.1_ASM131582v1	many frameshifted proteins
GCA_000008265.1	PRJNA10641	SAMN02603345		representative genome	263820	82076	Picrophilus torridus DSM 9790	strain=DSM 9790		latest	Complete Genome	Major	Full	2004/06/08	ASM826v1	Institut of Microbiology and Genetics, University of Goettingen	GCF_000008265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/265/GCA_000008265.1_ASM826v1	
GCA_000023985.1	PRJNA32615	SAMN02598490		representative genome	573064	83171	Methanocaldococcus fervens AG86	strain=AG86		latest	Complete Genome	Major	Full	2009/08/28	ASM2398v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000023985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/985/GCA_000023985.1_ASM2398v1	
GCA_000024185.1	PRJNA34681	SAMN02603710		representative genome	634498	83816	Methanobrevibacter ruminantium M1	strain=M1		latest	Complete Genome	Major	Full	2010/02/05	ASM2418v1	Pastoral Greenhouse Gas Research Consortium	GCF_000024185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/185/GCA_000024185.1_ASM2418v1	
GCA_000966265.1	PRJNA33583	SAMN02744072	LANF00000000.1	representative genome	588319	83868	Palaeococcus ferrophilus DSM 13482	strain=DSM 13482		latest	Contig	Major	Full	2015/03/30	ASM96626v1	DOE Joint Genome Institute	GCF_000966265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/966/265/GCA_000966265.1_ASM96626v1	
GCA_000015765.1	PRJNA18109	SAMN00623052		representative genome	410358	83984	Methanocorpusculum labreanum Z	strain=Z		latest	Complete Genome	Major	Full	2007/02/01	ASM1576v1	DOE Joint Genome Institute	GCF_000015765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/765/GCA_000015765.1_ASM1576v1	
GCA_000304355.2	PRJEB167	SAMEA2272323		representative genome	1201294	83986	Methanoculleus bourgensis MS2	strain=MS2T		latest	Complete Genome	Major	Full	2014/02/04	Mb_MS2	irena.maus	GCF_000304355.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/355/GCA_000304355.2_Mb_MS2	
GCA_900079125.1	PRJEB13327	SAMEA3921042		na	83986	83986	Methanoculleus bourgensis		BA1	latest	Complete Genome	Major	Full	2016/05/05	MBBA	CEBITEC	GCF_900079125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/125/GCA_900079125.1_MBBA	
GCA_000025285.1	PRJNA32583	SAMN00017459		representative genome	572546	84156	Archaeoglobus profundus DSM 5631	strain=DSM 5631		latest	Complete Genome	Major	Full	2010/01/19	ASM2528v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000025285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/285/GCA_000025285.1_ASM2528v1	
GCA_000092465.1	PRJNA33683	SAMN00002730		representative genome	591019	84599	Staphylothermus hellenicus DSM 12710	strain=DSM 12710		latest	Complete Genome	Major	Full	2010/06/01	ASM9246v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000092465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/465/GCA_000092465.1_ASM9246v1	
GCA_900036045.1	PRJEB12532	SAMEA3857231		na	86622	86622	Methanoculleus sp. MAB1		Methanoculleus sp MAB1	latest	Complete Genome	Major	Full	2016/02/15	Methanoculleus sp MAB1	SLU	GCF_900036045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/036/045/GCA_900036045.1_Methanoculleus_sp_MAB1	
GCA_000337195.1	PRJNA174938	SAMN02471670	AOID00000000.1	representative genome	1227496	88724	Natrinema versiforme JCM 10478	strain=JCM 10478		latest	Contig	Major	Full	2013/02/04	ASM33719v1	University of California, Davis	GCF_000337195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/195/GCA_000337195.1_ASM33719v1	
GCA_000513855.1	PRJNA210335	SAMN02597199	AZUU00000000.1	na	1150674	94694	Desulfurococcus amylolyticus Z-533	strain=Z-533		latest	Scaffold	Major	Full	2014/01/07	ASM51385v1	DOE Joint Genome Institute	GCF_000513855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/513/855/GCA_000513855.1_ASM51385v1	
GCA_000152265.2	PRJNA239	SAMN02604346		representative genome	333146	97393	Ferroplasma acidarmanus fer1	strain=fer1		latest	Complete Genome	Major	Full	2013/06/26	ASM15226v2	DOE Joint Genome Institute	GCF_000152265.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/265/GCA_000152265.2_ASM15226v2	
GCA_000247545.1	PRJNA42375	SAMN02604076		na	698757	99007	Pyrobaculum oguniense TE7	strain=TE7		latest	Complete Genome	Major	Full	2012/02/10	ASM24754v1	UCSC-Lowelab	GCF_000247545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/545/GCA_000247545.1_ASM24754v1	missing rRNA genes
GCA_000328665.1	PRJNA50749	SAMN02261367		representative genome	867904	101192	Methanomethylovorans hollandica DSM 15978	strain=DSM 15978		latest	Complete Genome	Major	Full	2012/12/28	ASM32866v1	JGI	GCF_000328665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/665/GCA_000328665.1_ASM32866v1	
GCA_000816105.1	PRJNA230529	SAMN02429659		na	1432656	110164	Thermococcus guaymasensis DSM 11113	strain=DSM 11113		latest	Complete Genome	Major	Full	2015/01/07	ASM81610v1	University of Waterloo	GCF_000816105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/105/GCA_000816105.1_ASM81610v1	
GCA_000011205.1	PRJNA246	SAMD00061096		representative genome	273063	111955	Sulfolobus tokodaii str. 7	strain=7		latest	Complete Genome	Major	Full	2004/05/11	ASM1120v1	NITE	GCF_000011205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/205/GCA_000011205.1_ASM1120v1	
GCA_001006045.1	PRJNA258102	SAMN02988852		representative genome	113653	113653	Geoglobus ahangari	strain=234		latest	Complete Genome	Major	Full	2015/05/11	ASM100604v1	Michigan State University	GCF_001006045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/006/045/GCA_001006045.1_ASM100604v1	
